"","X","taxon","EOO.Area.km2","EOO.Status","AOO","AOO.adjusted.Minimum","AOO.Status"
"1",1,"Acer saccharum subsp. floridanum",1380306.46306193,"Least Concern (LC)",13700,12900,"Least Concern (LC)"
"2",1,"Acer saccharum subsp. leucoderme",1070428.11571374,"Least Concern (LC)",12500,11800,"Least Concern (LC)"
"3",1,"Acer saccharum subsp. nigrum",1577723.54339203,"Least Concern (LC)",22300,21500,"Least Concern (LC)"
"4",1,"Acer saccharum subsp. ozarkense",1380306.46306193,"Least Concern (LC)",13700,12900,"Least Concern (LC)"
"5",1,"Acer saccharum subsp. saccharum",2254597.41170989,"Least Concern (LC)",28800,28300,"Least Concern (LC)"
"6",1,"Acer saccharum",7558597.82242443,"Least Concern (LC)",92000,91100,"Least Concern (LC)"
"7",1,"Elymus arizonicus",384.310709762828,"Endangered (EN)",300,300,"Endangered (EN)"
"8",1,"Allium aaseae",4068.96585027844,"Endangered (EN)",800,700,"Vulnerable (VU)"
"9",1,"Allium acuminatum",2235940.08306639,"Least Concern (LC)",78300,74500,"Least Concern (LC)"
"10",1,"Allium amplectens",791729.80508415,"Least Concern (LC)",23600,23000,"Least Concern (LC)"
"11",1,"Allium bigelovii",944505.860921449,"Least Concern (LC)",6600,6400,"Least Concern (LC)"
"12",1,"Allium bisceptrum",1354993.98926216,"Least Concern (LC)",22300,21400,"Least Concern (LC)"
"13",1,"Allium brandegeei",807939.337124262,"Least Concern (LC)",18000,17600,"Least Concern (LC)"
"14",1,"Allium brevistylum",842743.905812007,"Least Concern (LC)",33400,31900,"Least Concern (LC)"
"15",1,"Allium burdickii",923413.384037065,"Least Concern (LC)",6700,6600,"Least Concern (LC)"
"16",1,"Allium campanulatum",679888.531137662,"Least Concern (LC)",20600,19800,"Least Concern (LC)"
"17",1,"Allium canadense var. canadense",3358288.97913349,"Least Concern (LC)",23800,23500,"Least Concern (LC)"
"18",1,"Allium canadense",3746458.73787524,"Least Concern (LC)",31900,30900,"Least Concern (LC)"
"19",1,"Allium cernuum",7992756.60217924,"Least Concern (LC)",123200,121700,"Least Concern (LC)"
"20",1,"Allium crenulatum",281734.632658616,"Least Concern (LC)",7300,6800,"Least Concern (LC)"
