"","ID","FCSex","FCSin","FCSc_mean_class","diff","ExsituOverInsitu"
"1","Acer saccharum subsp. floridanum",0.495942290351667,29.7058596319725,"HP",-29.2099173416208,0
"2","Acer saccharum subsp. leucoderme",7.37078059482387,34.7713374440176,"HP",-27.4005568491937,0
"3","Acer saccharum subsp. nigrum",4.71034680179443,33.7306836522135,"HP",-29.0203368504191,0
"4","Acer saccharum subsp. ozarkense",0,32.5244199296847,"HP",-32.5244199296847,0
"5","Acer saccharum subsp. saccharum",0.619779035300457,31.4062547983419,"HP",-30.7864757630414,0
"6","Acer saccharum",0.605797101449277,35.6298341388568,"HP",-35.0240370374075,0
"7","Elymus arizonicus",0,35.8640268382077,"HP",-35.8640268382077,0
"8","Allium aaseae",48.2323406731082,40.7128347273372,"MP",7.51950594577099,1
"9","Allium acuminatum",16.8163411079633,40.0252031359855,"MP",-23.2088620280222,0
"10","Allium amplectens",29.4271559214331,41.0675909359095,"MP",-11.6404350144764,0
"11","Allium bisceptrum",5.21862362636055,44.766702686092,"HP",-39.5480790597314,0
"12","Allium brandegeei",0,42.9472181712331,"HP",-42.9472181712331,0
"13","Allium brevistylum",0.061218243036425,49.7413581658777,"HP",-49.6801399228413,0
"14","Allium burdickii",8.15520308760226,35.2996373737538,"HP",-27.1444342861515,0
"15","Allium campanulatum",0.277488727020465,50.7834097049288,"MP",-50.5059209779083,0
"16","Allium canadense var. canadense",0.256629597946963,34.2611309205007,"HP",-34.0045013225537,0
"17","Allium canadense",5.73389947582364,35.7843717079297,"HP",-30.0504722321061,0
"18","Allium cernuum",13.0804422541908,41.8816524520993,"MP",-28.8012101979085,0
"19","Allium crenulatum",0.0737463126843657,48.1357541643882,"HP",-48.0620078517038,0
"20","Allium douglasii",13.1288559846658,37.2609538484374,"MP",-24.1320978637716,0
"21","Allium drummondii",3.92362370153728,33.2983645991579,"HP",-29.3747408976206,0
"22","Allium falcifolium",22.3636591134876,39.9862557501041,"MP",-17.6225966366165,0
"23","Allium fibrillum",0.192307692307692,29.2156809728665,"HP",-29.0233732805588,0
"24","Allium geyeri var. geyeri",10.4072221915639,41.1049870108523,"MP",-30.6977648192884,0
"25","Allium geyeri var. tenerum",0,46.533680750945,"HP",-46.533680750945,0
"26","Allium geyeri",9.70064247024672,36.2719739329663,"HP",-26.5713314627196,0
"27","Allium kunthii",19.0730010569532,43.1186033038582,"MP",-24.045602246905,0
"28","Allium lemmonii",14.7077041946651,36.3910316223578,"MP",-21.6833274276927,0
"29","Allium macrum",0.119904076738609,29.4389302783828,"HP",-29.3190262016442,0
"30","Allium munzii",0.467289719626167,42.5219518023946,"HP",-42.0546620827684,0
"31","Allium nevii",0.57471264367816,39.944428217573,"HP",-39.3697155738948,0
"32","Allium platycaule",0.865800865800867,31.9047614843756,"HP",-31.0389606185747,0
"33","Allium praecox",0.45977011494253,45.1714177020247,"HP",-44.7116475870822,0
"34","Allium robinsonii",6.36545490773907,32.5574916286233,"HP",-26.1920367208842,0
"35","Allium sanbornii",25.1753394223599,36.4327400554536,"MP",-11.2574006330937,0
"36","Allium schoenoprasum",1.70011148272018,53.0073179143587,"MP",-51.3072064316385,0
"37","Allium scilloides",0,25.6376830433084,"HP",-25.6376830433084,0
"38","Allium siskiyouense",18.8933370743128,46.1439605470096,"MP",-27.2506234726968,0
"39","Allium stellatum",1.31332082551595,38.7241905018168,"HP",-37.4108696763008,0
"40","Allium textile",19.2458488922167,35.345742810217,"MP",-16.0998939180003,0
"41","Allium tolmiei",7.13450053925722,34.4222522857187,"HP",-27.2877517464615,0
"42","Allium tricoccum",8.4301533195866,35.3810037730832,"HP",-26.9508504534966,0
"43","Allium unifolium",4.65793304221253,37.3313407856146,"HP",-32.6734077434021,0
"44","Allium validum",8.48480642486527,48.7535430109551,"MP",-40.2687365860898,0
"45","Aphanisma blitoides",0,45.7593637283874,"HP",-45.7593637283874,0
"46","Apios americana",0.179778067075817,37.2602858508575,"HP",-37.0805077837817,0
"47","Artocarpus altilis",2.55962769051774,30.771018390894,"HP",-28.2113907003763,0
"48","Asimina triloba",6.43390544360398,37.2020546027362,"HP",-30.7681491591322,0
"49","Blitum californicum",15.4184991654296,43.5367329143779,"MP",-28.1182337489483,0
"50","Blitum capitatum",0.614754098360657,40.8432212277376,"HP",-40.2284671293769,0
"51","Blitum hastatum",0,40.1578158742446,"HP",-40.1578158742446,0
"52","Blitum nuttallianum",2.60721754330678,39.1243548684654,"HP",-36.5171373251586,0
"53","Blitum spathulatum",0,52.6602638650578,"MP",-52.6602638650578,0
"54","Capsicum annuum var. glabriusculum",9.35390143922202,39.5060938987141,"HP",-30.1521924594921,0
"55","Carya aquatica",0.32436557908796,37.0143510286681,"HP",-36.6899854495801,0
"56","Carya carolinae-septentrionalis",0.285714285714286,40.4379382777595,"HP",-40.1522239920452,0
"57","Carya cordiformis",0.42153047989624,36.8003104548405,"HP",-36.3787799749443,0
"58","Carya floridana",0.136892539356605,43.6764946554524,"HP",-43.5396021160958,0
"59","Carya glabra",3.07687736427508,36.0559460750288,"HP",-32.9790687107537,0
"60","Carya illinoinensis",6.54399458265582,32.9656987001103,"HP",-26.4217041174545,0
"61","Carya laciniosa",8.71538698614466,33.177371027569,"HP",-24.4619840414243,0
"62","Carya myristiciformis",0.71736011477762,21.6117723908612,"HP",-20.8944122760836,0
"63","Carya ovalis",0.306676102854447,36.1695119967724,"HP",-35.862835893918,0
"64","Carya ovata",4.35251761161741,33.8539574277569,"HP",-29.5014398161395,0
"65","Carya pallida",0.137551581843191,38.5599950655324,"HP",-38.4224434836892,0
"66","Carya texana",0.122742416272137,34.8849757551875,"HP",-34.7622333389154,0
"67","Carya tomentosa",0.292736813035073,36.2552613850868,"HP",-35.9625245720517,0
"68","Castanea dentata",0.405496733498537,31.8679734666503,"HP",-31.4624767331518,0
"69","Castanea ozarkensis",0.248292985723153,35.407956963368,"HP",-35.1596639776448,0
"70","Castanea pumila",0.200642054574639,34.2584554639581,"HP",-34.0578134093835,0
"71","Comarum palustre",0.0485908649173957,41.7432743088472,"HP",-41.6946834439298,0
"72","Corylus americana",11.5965588609557,35.4569475940202,"HP",-23.8603887330645,0
"73","Corylus californica",21.9644553734544,40.1034278493203,"MP",-18.1389724758659,0
"74","Corylus cornuta",2.14951333005437,38.2922352522945,"HP",-36.1427219222401,0
"75","Cucurbita digitata",33.034085623643,35.0596117685537,"MP",-2.0255261449107,0
"76","Cucurbita foetidissima",20.2062132959687,34.4219004270538,"MP",-14.2156871310851,0
"77","Cucurbita okeechobeensis subsp. okeechobeensis",55.4788995281148,37.8655075971182,"MP",17.6133919309966,1
"78","Cucurbita palmata",35.562060239782,50.5993753271768,"MP",-15.0373150873948,0
"79","Cucurbita pepo subsp. ovifera var. ozarkana",76.2996651452219,32.7256562803805,"LP",43.5740088648414,1
"80","Cucurbita pepo subsp. ovifera var. texana",57.375765146256,27.929928563002,"MP",29.445836583254,1
"81","Dasiphora fruticosa",9.11674404507201,43.6087432956835,"MP",-34.4919992506115,0
"82","Daucus pusillus",18.6727201418754,37.9934594875934,"MP",-19.320739345718,0
"83","Dioscorea villosa",5.35890063453724,34.5707585244284,"HP",-29.2118578898912,0
"84","Diospyros texana",16.0226679477866,41.2018266264354,"MP",-25.1791586786488,0
"85","Diospyros virginiana",4.566456340253,37.169405693594,"HP",-32.602949353341,0
"86","Drymocallis glandulosa",3.38542820839823,44.926520173396,"HP",-41.5410919649978,0
"87","Echinacea purpurea",31.2318624042892,37.5245361922895,"MP",-6.2926737880003,0
"88","Elymus alaskanus",4.20015220722952,54.1067400674976,"MP",-49.9065878602681,0
"89","Elymus albicans",2.52139685562836,39.2642153696677,"HP",-36.7428185140393,0
"90","Elymus arizonicus",5.40084919897548,42.4754926018963,"HP",-37.0746434029208,0
"91","Elymus bakeri",1.46750524109015,52.241951247435,"MP",-50.7744460063448,0
"92","Elymus canadensis",9.42170226959827,36.5159456950217,"HP",-27.0942434254234,0
"93","Elymus curvatus",0.435729847494553,36.378002262853,"HP",-35.9422724153584,0
"94","Elymus elymoides subsp. brevifolius",14.7770626847281,40.9282035328058,"MP",-26.1511408480777,0
"95","Elymus elymoides subsp. californicus",14.336730035228,48.8569500675179,"MP",-34.5202200322899,0
"96","Elymus elymoides subsp. elymoides",17.5897218913956,44.7506362505401,"MP",-27.1609143591445,0
"97","Elymus elymoides subsp. hordeoides",0,38.5536835464525,"HP",-38.5536835464525,0
"98","Elymus elymoides",31.1485475596398,45.6911741790821,"MP",-14.5426266194423,0
"99","Elymus glabriflorus",1.77514792899408,34.6685633455965,"HP",-32.8934154166024,0
"100","Elymus glaucus subsp. glaucus",6.7560761901852,44.1586961333014,"MP",-37.4026199431162,0
"101","Elymus glaucus subsp. virescens",0.47846889952153,46.244179777773,"HP",-45.7657108782515,0
"102","Elymus glaucus",15.0803158423138,42.2778831782739,"MP",-27.1975673359601,0
"103","Elymus hirsutus",0,52.4197044510604,"MP",-52.4197044510604,0
"104","Elymus hystrix",6.83720062651238,35.5118620438152,"HP",-28.6746614173028,0
"105","Elymus lanceolatus subsp. lanceolatus",3.5427724640346,35.3942370363898,"HP",-31.8514645723552,0
"106","Elymus lanceolatus subsp. psammophilus",1.58730158730159,41.0279987472792,"HP",-39.4406971599776,0
"107","Elymus lanceolatus subsp. riparius",0,38.8547509302801,"HP",-38.8547509302801,0
"108","Elymus lanceolatus",4.92869646458673,42.1742976289621,"HP",-37.2456011643754,0
"109","Elymus macgregorii",0.190114068441065,34.60243913933,"HP",-34.4123250708889,0
"110","Elymus macrourus",5.11924840775965,52.365901456244,"MP",-47.2466530484844,0
"111","Elymus multisetus",16.2942909684516,40.2311188282421,"MP",-23.9368278597905,0
"112","Elymus riparius",5.24783026866464,36.3531581225762,"HP",-31.1053278539116,0
"113","Elymus scribneri",0.118143459915612,52.8551493793826,"MP",-52.737005919467,0
"114","Elymus sierrae",1.0498687664042,75.7295749380493,"MP",-74.6797061716451,0
"115","Elymus stebbinsii subsp. septentrionalis",0,35.292800097518,"HP",-35.292800097518,0
"116","Elymus stebbinsii",0,44.0584214780172,"HP",-44.0584214780172,0
"117","Elymus trachycaulus subsp. subsecundus",3.89158534397199,41.9376077387917,"HP",-38.0460223948197,0
"118","Elymus trachycaulus subsp. trachycaulus",6.69042332419468,43.4247032206684,"MP",-36.7342798964737,0
"119","Elymus trachycaulus",8.30831319779421,43.6543801754345,"MP",-35.3460669776403,0
"120","Elymus villosus",5.67452224439388,30.5765131501192,"HP",-24.9019909057253,0
"121","Elymus violaceus",0.119870908252651,48.4155071485054,"HP",-48.2956362402527,0
"122","Elymus virginicus",4.8567586937968,34.4756591542402,"HP",-29.6189004604434,0
"123","Elymus wawawaiensis",69.4588026943041,34.9948696007904,"LP",34.4639330935137,1
"124","Elymus wiegandii",1.00574712643678,41.1062931668312,"HP",-40.1005460403944,0
"125","Elymus x pseudorepens",0,45.2431143131608,"HP",-45.2431143131608,0
"126","Leymus ambiguus",0.444444444444443,42.9537383423184,"HP",-42.509293897874,0
"127","Leymus californicus",0,63.2368202555399,"MP",-63.2368202555399,0
"128","Leymus cinereus",0.0865051903114187,41.3822995411702,"HP",-41.2957943508588,0
"129","Leymus condensatus",0,33.2019282120471,"HP",-33.2019282120471,0
"130","Leymus flavescens",0,36.7441088124849,"HP",-36.7441088124849,0
"131","Leymus innovatus",0,52.0348181562246,"MP",-52.0348181562246,0
"132","Leymus mollis",0.246913580246914,47.6284456529348,"HP",-47.3815320726879,0
"133","Leymus pacificus",0,54.8320464283883,"MP",-54.8320464283883,0
"134","Leymus salina subsp. salina",0.236406619385343,43.6983892160291,"HP",-43.4619825966438,0
"135","Leymus simplex",0,43.9795963623587,"HP",-43.9795963623587,0
